subject,s_age,softmax,criterion,alpha,beta,gender,age,ageExact,SES,SES_coded,meanprior,priorSD,s_ageExact,logmeanprior,logcriterion,logpriorSD,f_age,ageGroup,f_ageGroup,ageGroupsmall,IQ
142,14,65.939,0.054878,4.2197,3.4862,0,16,14.73,middle SES,1,0.547593402,0.168688987,-0.637618599,-0.602222234,-2.902642739,-1.779698571,16,3,3,4,97.5
143,11,6928.4,0.0015465,169.89,6119.1,0,11,11.73,high SES,2,0.027013877,0.002044193,-1.328847821,-3.611404596,-6.471760966,-6.192752407,11,1,1,1,105
144,12,82.603,0.038961,4.2371,12.602,0,12,12.08,high SES,2,0.251622711,0.102742173,-1.248204412,-1.37982449,-3.245194133,-2.2755326,12,1,1,2,100
145,24,197.88,0.065072,4.4504,5.8435,1,24,24.51,middle SES,1,0.432333712,0.14741244,1.615788665,-0.838557507,-2.73226093,-1.914520909,24,5,5,7,90
146,24,65.02,0.085453,1,1,0,24,24.47,high SES,2,0.5,0.288675135,1.606572276,-0.693147181,-2.459788762,-1.242453325,24,5,5,7,120
147,11,361000,2.12E-06,1,267000,0,11,11.21,high SES,2,3.75E-06,3.75E-06,-1.448660887,-12.49500768,-13.06409447,-12.49501143,11,1,1,1,105
148,15,31.894,2.60E-10,3.3809,2.4291,0,15,15.81,high SES,2,0.581910499,0.18901191,-0.388776079,-0.541438625,-22.07033948,-1.665945249,15,2,2,3,97.5
149,24,40.573,0.045625,1.1688,1.6074,0,24,24.21,middle SES,1,0.421007132,0.254070264,1.546665743,-0.865105505,-3.087299467,-1.370144419,24,5,5,7,95
15,19,164.01,0.068025,3.4225,3.7898,1,19,19.11,middle SES,1,0.474536556,0.174250362,0.371576065,-0.745416624,-2.687879994,-1.747262154,19,4,4,5,112.5
150,18,50.991,0.068379,1,1,0,18,18.4,high SES,2,0.5,0.288675135,0.207985149,-0.693147181,-2.682689519,-1.242453325,18,3,3,5,117.5
