Age,Difference,Model
12,-284.6297,TC
15,-423.9837,TC
15,-379.6762,TC
14,-312.0082,TC
14,-289.4523,TC
14,-491.2835,TC
15,-324.323,TC
14,-350.3,TC
16,-297.5251,TC
10,-228.68,TC
13,68.9631,TC
11,-91.1482,TC
11,-188.7492,TC
10,-231.3904,TC
10,-372.1332,TC
12,-400.871,TC
11,-189.0242,TC
12,-214.084,TC
12,-194.9429,TC
15,-358.4016,TC
10,27.1573,TC
10,-365.0986,TC
13,-347.8272,TC
13,-258.5379,TC
10,-226.677,TC
14,-298.9454,TC
13,-250.7089,TC
11,-157.991,TC
11,-148.4563,TC
10,-226.9785,TC
14,-421.9068,TC
15,-354.0316,TC
16,-322.8241,TC
14,-212.9058,TC
16,-399.3183,TC
11,-175.939,TC
12,-328.8825,TC
24,-458.9786,TC
24,-357.78,TC
11,72.4824,TC
15,-258.8166,TC
24,-353.7022,TC
18,-299.6135,TC
15,-245.2163,TC
18,-237.5451,TC
10,-179.0334,TC
13,-127.81,TC
11,-301.9221,TC
12,-372.1319,TC
11,-375.9211,TC
13,-341.361,TC
10,-179.5385,TC
24,-373.7378,TC
13,-449.6536,TC
19,-427.6834,TC
12,-158.2723,TC
19,-50.2134,TC
11,-354.9949,TC
